username,date,action
user002@domain.org,"2023-02-01 17:46:13","Benutzer wurder gesperrt wegen zu vieler Fehlversuche beim Login"
user001@domain.org,"2024-04-09 08:26:29","Benutzer wurder gesperrt wegen zu vieler Fehlversuche beim Login"
user001@domain.org,"2024-04-09 09:00:17","Benutzer wurder gesperrt wegen zu vieler Fehlversuche beim Login"
user001@domain.org,"2024-04-09 09:02:41","Benutzer wurder gesperrt wegen zu vieler Fehlversuche beim Login"
user001@domain.org,"2024-04-09 13:55:36","Benutzer wurder gesperrt wegen zu vieler Fehlversuche beim Login"
user001@domain.org,"2024-04-09 13:59:42","Benutzer wurder gesperrt wegen zu vieler Fehlversuche beim Login"
user001@domain.org,"2024-04-09 14:06:24","Benutzer wurder gesperrt wegen zu vieler Fehlversuche beim Login"
user001@domain.org,"2024-04-09 14:53:59","Erfolgreich Login"
user001@domain.org,,"1 failed Login"
user001@domain.org,"2024-04-09 14:57:20","2 failed Login"
user001@domain.org,"2024-04-09 14:58:00","Benutzer wurder gesperrt wegen zu vieler Fehlversuche beim Login"
user001@domain.org,"2024-04-09 14:58:51","Erfolgreich Login"
user001@domain.org,"2024-04-09 15:01:44","Erfolgreich Login"
user001@domain.org,"2024-04-09 15:16:44","Erfolgreich Login"
user001@domain.org,"2024-04-09 18:14:45","Erfolgreich Login"
user001@domain.org,"2024-04-09 18:53:27","Erfolgreich Login"
user001@domain.org,"2024-04-09 19:24:24","Update password"
user001@domain.org,"2024-04-09 19:43:22","Erfolgreich Login"
user001@domain.org,"2024-04-09 19:52:59","Update password"
user001@domain.org,"2024-04-09 20:00:14","Update password"
user001@domain.org,"2024-04-09 20:01:02","Update password"
user001@domain.org,"2024-04-09 20:10:32","Update password"
user001@domain.org,"2024-04-14 15:20:17","Erfolgreich Login"
